owl_0,owl_1,owl_2,owl_3,owl_4,owl_5,owl_6,owl_7,owl_8,owl_9,owl_10,owl_11
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000,1.50000000
